ISO3,Country,ISO,Adapation Funding,Mitigation Funding,A %,M %,Dual Purpose Funding,Total Climate Funding,Vulnerability,GNR Region,ODA,Climate Funding as % of ODA,,,FIG,PC,Population
TLS2021,Timor-Leste,TLS,5.599056,3.210678,0.507163166,0.2908236,2.230216,11.03995,0.5649,Asia,225.621059,0.048931381,,,,0,1320942
IND2021,India,IND,182.581301,1237.797811,0.128200291,0.86912536,3.808776,1424.187888,0.5602,Asia,5470.372046,0.260345709,,,,0,1407563842
TGO2021,Togo,TGO,9.88293,5.122608,0.625169965,0.324043645,0.802851,15.808389,0.5862,Africa,315.040114,0.050178972,,,0.002683852,0,8644829
MOZ2021,Mozambique,MOZ,34.324161,59.013549,0.355238096,0.610761056,3.285263,96.622973,0.6244,Africa,2180.523248,0.044311829,,,0.198334283,RC,32077072
NPL2021,Nepal,NPL,18.61152,12.018366,0.556461538,0.359334349,2.816307,33.446193,0.5828,Asia,1639.666815,0.020398164,,,,C,30034989
CIV2021,Côte d'Ivoire,CIV,15.010415,88.732365,0.142247692,0.840881089,1.780303,105.523083,0.6039,Africa,1605.824964,0.065712693,,,,0,27478249
NGA2021,Nigeria,NGA,62.49772,35.735149,0.598445347,0.342181021,6.200594,104.433463,0.6246,Africa,3699.423319,0.02822966,,,0.04581051,PC,213401323
KHM2021,Cambodia,KHM,106.460084,15.074849,0.827709265,0.117204418,7.08521,128.620143,0.6127,Asia,1333.383374,0.096461487,,,,0,16589023
PLW2021,Palau,PLW,0.923098,0.000228,0.999753067,0.000246933,0,0.923326,0.5836,Oceania,48.386075,0.019082474,,,,0,18024
ZMB2021,Zambia,ZMB,7.283782,11.757378,0.33963877,0.548240104,2.404513,21.445673,0.5999,Africa,1116.618913,0.019205902,,,0.095394256,RC,19473125
SWZ2021,Eswatini,SWZ,3.791809,0.31249,0.92386276,0.07613724,0,4.104299,0.6037,Africa,130.325804,0.031492604,,,0.120166933,0,1192271
VNM2021,Viet Nam,VNM,71.74584,259.735525,0.215608235,0.780548643,1.278838,332.760203,0.5288,Asia,1979.968526,0.16806338,,,,0,97468029
LSO2021,Lesotho,LSO,8.730178,0.27887,0.963217536,0.03076827,0.05451,9.063558,0.5861,Africa,194.173261,0.046677683,,,0.077955956,0,2281454
DJI2021,Djibouti,DJI,13.082773,0.453511,0.96649664,0.03350336,0,13.536284,0.5757,Africa,178.990066,0.075625895,,,0.065997162,RC,1105557
PRK2021,Democratic People's Republic of Korea,PRK,0.447282,0,1,0,0,0.447282,0.5639,Asia,18.357366,0.02436526,,,,0,25971909
LKA2021,Sri Lanka,LKA,10.945088,73.458213,0.118261231,0.793713003,8.146793,92.550094,0.5399,Asia,706.134005,0.131065907,,,,0,22156000
ATG2021,Antigua and Barbuda,ATG,0,0,0,0,0.053942,0.053942,0.5157,Latin America and the Caribbean,5.247667,0.010279235,,,,0,93219
NAM2021,Namibia,NAM,11.852537,9.107332,0.554932583,0.426402826,0.398648,21.358517,0.5488,Africa,204.565135,0.104409371,,,0.099366332,0,2530151
